debtId,name,email,debtAmount,debtDueDate,governmentId
2268,Florence Schwartz,rifhiig@lopfe.bm,$6647.68,11/30/1962,772444854
9812,Delia Watts,davodor@ate.ag,$5687.20,01/30/1969,766325943
8369,Douglas Warner,koz@omlektem.kn,$6840.85,06/06/2059,698042218
0487,Adam Gilbert,mo@voparre.pt,$8315.10,10/17/2030,883931239
9082,Jackson Aguilar,ati@pooma.gm,$6870.75,06/24/1973,945665414
3750,Joseph Cannon,hoszalgu@moldocro.sz,$4254.09,01/26/1915,120735647
9164,Billy McGuire,gefifhof@dal.es,$6072.82,08/02/1971,313848109
5812,Carlos Hicks,biruko@ado.ck,$294.32,04/16/2062,398608785
8205,Ann Newton,kod@mantid.bm,$9689.64,11/07/1937,221974493
1085,Gabriel Harrington,cidle@gaewof.mq,$2171.49,03/29/1951,594569784
4205,Todd Wilkins,wu@kof.eu,$4428.88,04/04/1901,577756101
8523,Emily Guzman,nice@ger.bs,$5209.63,02/02/2033,184111845
1557,Bertie Perry,nofodi@urmujrit.kz,$8590.46,08/27/2045,622264331
6726,Leona Maxwell,atote@kofe.cg,$7301.52,03/01/2025,879585100
8094,Eleanor Saunders,do@ope.it,$5240.15,04/21/2040,791844455
1366,Warren Parsons,ewoilesi@ublog.io,$2407.00,06/07/1963,418672439
2485,Hannah Moore,poj@zah.dk,$8022.06,12/02/1916,054686021
7008,Owen Gilbert,ufoca@tapeda.eu,$1250.65,11/20/2025,943644428
0222,Don Daniel,barfan@ti.gt,$3612.08,07/11/1900,802453835
5485,Sarah Shaw,tuno@nujbo.ps,$9232.11,09/18/1919,150765598
3028,Ina Keller,elvu@uztet.ug,$4904.91,05/10/1991,712547578
4147,Lulu Cruz,buuror@feromuh.vu,$9255.13,06/21/2056,088614185
9162,Clyde Hill,coage@aboegpup.je,$7197.97,09/28/2051,140995833
3481,Harriet George,fubupu@noczi.al,$6323.16,12/28/1913,025931693
0687,Elmer Mills,tobi@sides.cv,$6915.43,11/03/2015,756291940
3353,Robert Hunt,zeokwo@asjan.tm,$3534.47,03/23/1962,504559953
9268,Raymond Douglas,hisud@keno.hu,$8832.69,08/07/1984,117769296
8364,Stella Taylor,ziz@maj.td,$6825.07,06/06/1902,464340236
6942,Hannah Carr,hez@cekip.vi,$6247.31,09/01/2033,503997154
